brand,product_name,shipping 
Asus, ASUS GeForce GTX 1050 Ti 4GB PHOENIX Fan Edition DVI-D HDMI DP 1.4 Gaming Graphics Card (PH-GTX1050Ti-4G), 3.99
Msi, MSI GeForce GTX 1050 Ti DirectX 12 GTX 1050 Ti 4GT OC 4GB 128-Bit GDDR5 PCI Express 3.0 x16 HDCP Ready ATX Video Card, Free
Msi, MSI GeForce GTX 1660 SUPER DirectX 12 GTX 1660 SUPER GAMING X 6GB 192-Bit GDDR6 PCI Express 3.0 x16 HDCP Ready Video Card, Free
Gigabyte, GIGABYTE GeForce GTX 1660 Ti OC 6G Graphics Card| 2 x WINDFORCE Fans| 6GB 192-Bit GDDR6| GV-N166TOC-6GD Video Card, 99.99
Msi, MSI GeForce GTX 1660 SUPER DirectX 12 GTX 1660 SUPER VENTUS XS OC 6GB 192-Bit GDDR6 PCI Express 3.0 x16 HDCP Ready Video Card, Free
Evga, EVGA GeForce GTX 1650 KO ULTRA GDDR6 GAMING| 04G-P4-1457-KR| 4GB GDDR6| Dual Fan| Metal Backplate, Free
Asus, ASUS TUF Gaming GeForce GTX 1660 SUPER Overclocked 6GB Edition HDMI DP DVI Gaming Graphics Card (TUF-GTX1660S-O6G-GAMING), Free
Gigabyte, GIGABYTE GeForce GTX 1050 Ti OC Low Profile 4GB Video Card| GV-N105TOC-4GL, Free
Evga, EVGA GeForce GTX 1060 GAMING| ACX 2.0 (Single Fan)| 03G-P4-6160-KR| 3GB GDDR5| DX12 OSD Support (PXOC)| Only 6.8 Inches, 37.00
Msi, MSI GeForce GTX 1050 Ti DirectX 12 GTX 1050 TI 4GT LP 4GB 128-Bit GDDR5 PCI Express 3.0 x16 HDCP Ready Low Profile Video Card, Free
Nippon Labs, Nippon Labs Cat 8 Ethernet Cable 35 ft. Blue - 2GHz| 40G| 24AWG| S/FTP - Shielded Latest 40Gbps 2000Mhz SFTP Patch Cord| Heavy Duty High Speed Cat8 LAN Network RJ45 Cable, Free
Nippon Labs, Nippon Labs 60CAT8-35-24YW 35 ft. Cat 8 Yellow 2GHz| 40G| 24AWG| S/FTP - Shielded Latest 40Gbps 2000Mhz SFTP Patch Cord| Heavy Duty High Speed Cat 8 LAN Network RJ45 Cable, Free
Nippon Labs, Nippon Labs ESATA3-SATA3-6-BU 6ft SATA External Shielded 6 ft Cable - eSATA to SATA (Type I to Type L) - Blue| SATA-III (6.0Gbit/s) 6 feet, Free
Nippon Labs, Nippon Labs Cat 8 Ethernet Cable 25 ft. Gray - 2GHz| 40G| 24AWG| S/FTP - Shielded Latest 40Gbps 2000Mhz SFTP Patch Cord| Heavy Duty High Speed Cat8 LAN Network RJ45 Cable, Free
Evga, EVGA GeForce GTX 1070 Ti DirectX 12 08G-P4-6678-KR 8GB 256-Bit GDDR5 PCI Express 3.0 SLI Support Video Card, Free
Gigabyte, GIGABYTE GeForce GTX 1650 DirectX 12 GV-N1656WF2OC-4GD (rev. 2.0) 4GB 128-Bit GDDR6 PCI Express 3.0 x16 ATX Video Card, 6.99
Gigabyte, GIGABYTE GeForce GTX 1050 Ti DirectX 12 GV-N105TOC-4GD 4GB 128-Bit GDDR5 PCI Express 3.0 x16 ATX Video Cards, Free
Evga, EVGA GeForce GTX 1060 6GB SSC GAMING ACX 3.0| 6GB GDDR5| LED| DX12 OSD Support (PXOC)| 06G-P4-6267-KR, Free
Nippon Labs, Nippon Labs Cat 8 Ethernet Cable 25 ft. Blue - 2GHz| 40G| 24AWG| S/FTP - Shielded Latest 40Gbps 2000Mhz SFTP Patch Cord| Heavy Duty High Speed Cat8 LAN Network RJ45 Cable, Free
Nippon Labs, Nippon Labs SATA3-1.5FT-BK 1.5 ft. SATA III Male to Male Cable| Black - OEM, Free
Nippon Labs, Nippon Labs SATA-COMBO-1.5BK 1.5 ft. SATA and Power Combination 1.5ft Cable 1.5 feet- OEM, Free
Nippon Labs, Nippon Labs ESATA3-R-6-ll-BU 6 ft. eSATA III(Type I) Male to Male Cable| Blue, Free
Evga, EVGA GeForce GTX 1080 Ti FTW3 GAMING| 11G-P4-6696-KR| 11GB GDDR5X| iCX Technology - 9 Thermal Sensors & RGB LED G/P/M (OEM Edition), 45.00
Evga, EVGA GeForce GTX 1050 Ti SSC GAMING ACX 3.0| 04G-P4-6255-KR| 4GB GDDR5| DX12 OSD Support (PXOC), Free
Asus, ASUS TUF Gaming GeForce GTX 1650 TUF-GTX1650-O4GD6-GAMING 4GB 128-Bit GDDR6 PCI Express 3.0 HDCP Ready Video Card, Free
Gigabyte, GIGABYTE GeForce GTX 1050 Ti DirectX 12 GV-N105TD5-4GD 4GB 128-Bit GDDR5 PCI Express 3.0 x16 Video Cards, Free
Gigabyte, GIGABYTE GeForce GTX 1660 SUPER DirectX 12 GV-N166SOC-6GD 6GB 192-Bit GDDR6 PCI Express 3.0 x16 ATX Video Card, Free
Msi, MSI GeForce GTX 1050 Ti DirectX 12 GTX 1050 Ti GAMING X 4G 4GB 128-Bit GDDR5 PCI Express 3.0 x16 HDCP Ready ATX Video Card, Free
